band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B97995404180,B97995404180,,E,10/8/2014,8,10,2014,US,US-WI,44.98006,-88.04677,11,41,MALLARD,1320,,,,,,,1,21,61,5,1.33,E,Anas platyrhynchos
B97995501869,B97995501869,,B,8/14/2015,14,8,2015,US,US-MI,44.5,-85.5,60,41,Mallard,1320,3,0,2,5,P4924474,0,,,,,,B,Anas platyrhynchos
B97995501869,B97995501869,,E,10/28/2017,28,10,2017,US,US-WI,44.94865,-87.77812,11,41,Mallard,1320,,,,,,,1,21,7,5,2.33,E,Anas platyrhynchos
B97995514905,B97995514905,,B,7/23/2015,23,7,2015,US,US-MI,42.5,-85.5,60,41,Mallard,1320,3,0,2,4,P4924474,0,,,,,,B,Anas platyrhynchos
B97995514905,B97995514905,,E,10/26/2015,26,10,2015,US,US-WI,43.47187,-88.65933,11,41,GREEN HEAD MALLARD,1320,,,,,,,1,21,61,5,0.33,E,Anas platyrhynchos
B97995598829,B97995598829,,B,9/7/2015,7,9,2015,CA,CA-ON,47.5,-79.5,60,41,Mallard,1320,3,70,2,4,P8838868,0,,,,,,B,Anas platyrhynchos
B97995598829,B97995598829,,E,11/19/2016,19,11,2016,US,US-WI,44.02573,-91.49799,0,41,Mallard,1320,,,,,,,1,21,7,4,1.42,E,Anas platyrhynchos
B97995610735,B97995610735,,B,8/29/2017,29,8,2017,US,US-MI,42.5,-83.5,60,41,Mallard,1320,3,0,2,4,P4924474,0,,,,,,B,Anas platyrhynchos
B97995610735,B97995610735,,E,10/3/2018,3,10,2018,US,US-WI,44.41163,-92.04906,11,41,Mallard,1320,,,,,,,1,21,7,5,1.33,E,Anas platyrhynchos
B97995613703,B97995613703,,B,9/30/2017,30,9,2017,US,US-MI,42.5,-83.5,60,41,Mallard,1320,3,0,1,4,P4924474,0,,,,,,B,Anas platyrhynchos
B97995613703,B97995613703,,E,11/2/2019,2,11,2019,US,US-WI,43.54528,-88.38847,0,41,Mallard,1320,,,,,,,1,21,7,4,3.42,E,Anas platyrhynchos
B97995615705,B97995615705,,B,9/23/2014,23,9,2014,US,US-MI,46.5,-87.5,60,41,Mallard,1320,3,0,1,4,P4924474,0,,,,,,B,Anas platyrhynchos
B97995615705,B97995615705,,E,10/24/2014,24,10,2014,US,US-WI,44.30222,-87.56314,11,41,Mallard,1320,,,,,,,1,21,7,5,1.33,E,Anas platyrhynchos
B97995617455,B97995617455,,B,8/20/2013,20,8,2013,US,US-MI,43.5,-83.5,60,41,Mallard,1320,3,0,2,4,P4924474,0,,,,,,B,Anas platyrhynchos
B97995617455,B97995617455,,E,10/4/2013,4,10,2013,US,US-WI,43.71895,-89.31984,11,41,MALLARD,1320,,,,,,,1,21,61,5,0.33,E,Anas platyrhynchos
B97995618661,B97995618661,,B,8/7/2015,7,8,2015,US,US-MI,42.5,-83.5,60,41,Mallard,1320,3,0,1,5,P4924474,0,,,,,,B,Anas platyrhynchos
B97995618661,B97995618661,,E,10/28/2017,28,10,2017,US,US-WI,44.97956,-87.6541,0,41,Mallard,1320,,,,,,,1,21,7,4,3.33,E,Anas platyrhynchos
B97995624659,B97995624659,,B,3/13/2014,13,3,2014,US,US-PA,42.5,-80.5,60,41,Mallard,1320,3,0,6,4,P9985898,0,,,,,,B,Anas platyrhynchos
B97995624659,B97995624659,,E,10/20/2018,20,10,2018,US,US-WI,43.03537,-89.31588,0,41,Mallard,1320,,,,,,,1,21,7,5,6.33,E,Anas platyrhynchos
B97995629862,B97995629862,,B,2/18/2014,18,2,2014,US,US-PA,41.5,-80.5,60,41,Mallard,1320,3,0,5,4,P9985898,0,,,,,,B,Anas platyrhynchos
B97995629862,B97995629862,,E,10/21/2014,21,10,2014,US,US-WI,43.93027,-88.78989,0,41,Mallard,1320,,,,,,,1,21,7,5,1.33,E,Anas platyrhynchos
B97995662336,B97995662336,,B,8/15/2016,15,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995662336,B97995662336,,E,10/1/2016,1,10,2016,US,US-WI,43.67696,-88.90529,11,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995662422,B97995662422,,B,8/15/2016,15,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995662422,B97995662422,,E,8/18/2017,18,8,2017,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,1,4,P8988788,,66,23,14,7,1.17,R,Anas platyrhynchos
B97995662826,B97995662826,,B,8/23/2016,23,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,4,P9972302,0,,,,,,B,Anas platyrhynchos
B97995662826,B97995662826,,E,9/24/2016,24,9,2016,US,US-WI,44.63886,-89.47426,11,41,Mallard,1320,,,,,,,1,21,7,5,0.25,E,Anas platyrhynchos
B97995663779,B97995663779,,B,8/23/2016,23,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995663779,B97995663779,,E,10/15/2017,15,10,2017,US,US-WI,44.27016,-89.3672,0,41,Mallard,1320,,,,,,,1,21,7,4,1.33,E,Anas platyrhynchos
B97995664187,B97995664187,,B,8/27/2016,27,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995664187,B97995664187,,E,10/3/2016,3,10,2016,US,US-WI,43.69881,-88.88904,0,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995664495,B97995664495,,B,8/23/2016,23,8,2016,US,US-WI,44.5,-89.5,60,41,Mallard,1320,3,0,2,5,P9972302,0,,,,,,B,Anas platyrhynchos
B97995664495,B97995664495,,E,10/16/2016,16,10,2016,US,US-WI,43.76064,-89.36226,11,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
